individual,species,population,year,predator,bodylength,abdomenlength,seg10width,seg9width,seg8width,seg7width,seg6width,seg5width,seg4width,seg3width,seg2width,seg10length,seg9length,seg8length,seg7length,seg6length,seg5length,seg4length,seg3length,seg2length,ventralarea
256,rubicunda,gro§esmoor1,2012,invertebrate,20.134,11.995,1.590,3.068,5.280,6.867,7.535,7.569,7.059,6.057,5.072,0.286,1.225,1.400,1.477,1.524,1.429,1.349,1.318,1.111,75.195
257,rubicunda,gro§esmoor1,2012,invertebrate,19.921,11.423,1.660,2.939,4.886,6.470,6.995,7.089,6.565,5.743,4.805,0.246,1.201,1.247,1.393,1.475,1.427,1.300,1.361,0.918,66.211
258,rubicunda,gro§esmoor1,2012,invertebrate,19.868,11.127,1.490,2.873,4.923,6.430,6.903,6.728,6.079,5.221,4.433,0.298,1.086,1.226,1.402,1.349,1.420,1.472,1.298,1.086,64.377
259,pectoralis,gro§esmoor1,2013,invertebrate,21.545,11.952,1.803,3.252,5.772,7.389,7.859,7.673,7.129,6.151,4.999,0.226,1.392,1.375,1.502,1.540,1.466,1.296,1.164,1.014,78.564
260,pectoralis,gro§esmoor1,2013,invertebrate,20.189,12.155,1.693,2.939,5.357,6.806,7.457,7.391,6.851,5.730,4.805,0.338,1.433,1.377,1.434,1.475,1.435,1.375,1.321,1.079,72.775
261,pectoralis,gro§esmoor1,2012,invertebrate,20.768,12.094,1.519,2.980,5.424,7.019,7.674,7.653,7.153,6.255,5.121,0.346,1.288,1.366,1.596,1.654,1.577,1.384,1.097,0.961,78.082
262,pectoralis,gro§esmoor1,2012,invertebrate,19.534,11.311,1.739,3.173,5.495,7.137,7.769,7.744,7.263,6.396,5.266,0.239,1.354,1.474,1.533,1.616,1.501,1.194,1.020,0.797,76.307
263,pectoralis,gro§esmoor1,2012,invertebrate,20.907,12.367,1.695,3.207,5.800,7.537,8.224,8.189,7.698,6.618,5.444,0.157,1.493,1.527,1.702,1.721,1.612,1.359,1.214,0.889,85.142
264,pectoralis,gro§esmoor1,2012,invertebrate,19.372,11.502,1.649,2.920,5.397,7.116,7.792,7.758,7.118,6.136,5.086,0.241,1.271,1.320,1.467,1.529,1.544,1.334,1.077,0.883,73.790
265,pectoralis,gro§esmoor1,2012,invertebrate,19.544,11.144,1.559,3.099,5.426,7.148,7.787,7.771,7.279,6.230,5.262,0.178,1.033,1.279,1.656,1.738,1.640,1.246,1.049,0.836,74.992
266,pectoralis,gro§esmoor1,2012,invertebrate,21.297,12.438,1.754,3.090,5.448,7.045,7.639,7.639,7.234,6.248,5.248,0.299,1.263,1.474,1.614,1.666,1.614,1.438,1.246,0.965,79.026
267,pectoralis,gro§esmoor1,2012,invertebrate,20.422,12.288,1.776,3.139,5.683,7.372,8.083,8.128,7.452,6.427,5.310,0.327,1.371,1.444,1.662,1.660,1.542,1.369,1.216,0.887,81.433
268,pectoralis,gro§esmoor2,2013,invertebrate,21.553,12.086,1.666,2.974,5.514,7.334,7.997,7.846,7.261,6.027,5.257,0.230,1.307,1.268,1.515,1.553,1.478,1.345,1.194,1.117,78.843
269,rubicunda,gro§esmoor2,2013,invertebrate,19.446,11.801,1.557,2.935,5.179,6.660,7.326,7.288,6.757,5.848,4.883,0.236,1.378,1.264,1.457,1.477,1.418,1.437,1.222,0.965,71.643
270,pectoralis,gro§esmoor2,2013,invertebrate,22.405,12.513,1.855,3.241,5.851,7.235,7.799,7.826,7.214,6.040,5.009,0.352,1.496,1.410,1.525,1.571,1.431,1.380,1.179,1.046,80.915
271,rubicunda,gro§esmoor2,2013,invertebrate,19.360,11.321,1.532,2.709,4.849,6.149,6.794,6.792,6.283,5.474,4.630,0.255,1.258,1.314,1.374,1.413,1.471,1.315,1.138,0.981,63.575
272,pectoralis,gro§esmoor2,2013,invertebrate,20.915,13.047,1.696,3.036,5.752,7.288,7.881,7.740,7.181,6.049,4.956,0.288,1.649,1.592,1.710,1.631,1.612,1.343,1.246,1.018,83.179
273,rubicunda,gro§esmoor2,2013,invertebrate,20.912,12.219,1.631,2.973,4.775,7.294,7.807,7.726,7.111,6.001,5.002,0.287,1.278,1.422,1.422,1.481,1.368,1.352,1.118,0.972,83.408
274,rubicunda,gro§esmoor2,2013,invertebrate,20.444,12.058,1.502,2.883,5.266,6.799,7.373,7.372,6.970,5.952,4.877,0.230,1.384,1.402,1.536,1.440,1.459,1.325,1.325,1.075,73.901
275,rubicunda,gro§esmoor2,2013,invertebrate,20.033,11.972,1.641,3.029,5.209,6.887,7.564,7.584,7.060,6.002,5.040,0.271,1.412,1.408,1.465,1.388,1.410,1.388,1.272,1.041,74.636
276,rubicunda,gro§esmoor2,2013,invertebrate,19.338,10.981,1.663,2.769,4.732,6.116,6.560,6.501,6.212,5.272,4.427,0.174,1.173,1.269,1.442,1.442,1.288,1.154,1.096,0.885,60.603
277,rubicunda,gro§esmoor2,2013,invertebrate,18.250,10.685,1.525,2.666,4.723,6.149,6.698,6.638,6.114,5.272,4.481,0.311,1.290,1.299,1.268,1.282,1.265,1.238,1.086,0.878,58.545
278,rubicunda,gro§esmoor2,2013,invertebrate,17.926,10.043,1.441,2.629,4.630,5.930,6.461,6.414,5.960,5.046,4.340,0.241,1.251,1.241,1.257,1.392,1.286,1.171,1.021,0.849,61.877
279,rubicunda,gro§esmoor2,2013,invertebrate,18.390,10.941,1.464,2.620,4.549,5.796,6.258,6.219,5.814,5.063,4.331,0.231,1.138,1.366,1.405,1.405,1.347,1.232,1.059,0.885,56.723
280,rubicunda,gro§esmoor2,2013,invertebrate,18.730,11.121,1.490,2.843,4.909,6.342,6.917,6.858,6.331,5.403,4.463,0.212,1.160,1.373,1.349,1.446,1.407,1.330,1.079,0.945,63.400
281,dubia,gro§esmoor2,2012,invertebrate,18.969,11.261,1.533,3.102,5.055,6.755,7.371,7.307,6.757,5.672,4.703,0.167,1.061,1.183,1.335,1.426,1.380,1.198,1.017,0.833,69.284
282,dubia,gro§esmoor2,2012,invertebrate,16.848,9.779,1.322,2.946,4.759,6.289,6.816,6.724,6.254,5.327,4.365,0.283,1.075,1.132,1.321,1.340,1.302,1.245,0.943,0.737,56.902
283,dubia,gro§esmoor2,2012,invertebrate,17.377,10.322,1.397,3.129,4.805,6.295,6.834,6.802,6.296,5.361,4.472,0.238,1.173,1.285,1.364,1.395,1.269,1.158,0.999,0.793,58.493
284,dubia,gro§esmoor2,2012,invertebrate,18.479,11.486,1.589,2.914,4.777,6.403,7.064,7.013,6.505,5.641,4.642,0.286,1.203,1.169,1.339,1.423,1.441,1.271,1.135,0.966,61.956
285,dubia,gro§esmoor2,2012,invertebrate,18.103,10.605,1.437,2.932,4.644,6.175,6.701,6.632,6.139,5.228,4.302,0.150,1.091,1.170,1.352,1.411,1.411,1.254,1.166,0.978,59.373
286,dubia,gro§esmoor2,2012,invertebrate,16.287,9.289,1.159,3.007,4.905,6.642,7.275,7.152,6.657,5.619,4.404,0.105,0.895,1.158,1.263,1.456,1.281,1.088,0.895,0.772,55.957
287,dubia,gro§esmoor2,2012,invertebrate,17.799,10.514,1.419,3.079,4.983,6.628,7.210,7.146,6.645,5.595,4.675,0.161,1.048,1.226,1.403,1.451,1.451,1.162,1.000,0.774,62.777
288,dubia,gro§esmoor2,2012,invertebrate,16.269,9.524,NA,3.045,4.790,6.459,7.028,6.888,6.411,5.537,4.599,NA,0.920,1.094,1.300,1.460,1.381,1.126,0.793,0.762,56.128
289,pectoralis,gro§esmoor2,2012,invertebrate,20.928,12.907,1.899,3.356,6.019,7.685,8.329,8.196,7.574,6.509,5.448,0.350,1.644,1.555,1.666,1.710,1.577,1.378,1.244,0.845,87.853
290,pectoralis,gro§esmoor2,2012,invertebrate,21.452,12.630,1.456,3.000,5.455,7.052,7.790,7.825,7.195,6.196,5.123,0.334,1.480,1.407,1.652,1.651,1.546,1.390,1.319,1.058,80.613
291,pectoralis,gro§esmoor2,2012,invertebrate,20.455,12.311,1.481,3.005,5.376,7.090,7.767,7.746,7.069,6.095,5.058,0.159,1.271,1.419,1.545,1.588,1.567,1.315,1.165,1.018,80.180
292,pectoralis,gro§esmoor2,2012,invertebrate,20.765,12.389,1.702,3.197,5.865,7.769,8.364,8.240,7.617,6.657,5.523,0.159,1.456,1.516,1.695,1.774,1.577,1.357,1.176,0.877,86.984
293,rubicunda,gro§esmoor2,2012,invertebrate,18.804,11.027,1.625,3.029,5.150,6.829,7.464,7.494,7.018,6.146,5.047,0.257,1.249,1.456,1.489,1.574,1.471,1.147,1.011,0.907,69.671
294,rubicunda,gro§esmoor2,2012,invertebrate,20.421,11.984,1.567,2.945,5.424,7.026,7.818,7.802,7.250,6.217,5.287,0.362,1.360,1.395,1.412,1.481,1.498,1.361,1.033,0.982,77.197
295,rubicunda,gro§esmoor2,2012,invertebrate,19.679,11.097,1.565,3.048,5.241,6.806,7.418,7.387,6.887,5.968,4.936,0.177,1.000,1.226,1.387,1.485,1.403,1.258,1.177,1.000,68.984
296,pectoralis,gro§esmoor2,2013,invertebrate,21.297,12.015,1.553,2.898,5.425,7.186,7.781,7.728,7.209,5.930,4.806,0.206,1.365,1.365,1.496,1.533,1.459,1.309,1.216,1.085,76.325
297,pectoralis,gro§esmoor2,2013,invertebrate,21.968,12.820,1.794,3.206,5.709,7.244,7.801,7.708,7.116,6.082,5.031,0.420,1.603,1.547,1.603,1.546,1.565,1.490,1.260,1.051,83.775
298,pectoralis,gro§esmoor2,2013,invertebrate,20.503,12.754,1.642,2.979,5.623,7.185,7.711,7.481,6.934,5.936,4.899,0.245,1.661,1.489,1.619,1.622,1.606,1.357,1.205,0.961,79.264
299,pectoralis,gro§esmoor2,2012,invertebrate,20.969,12.932,1.889,3.378,6.066,7.688,8.378,8.200,7.601,6.490,5.470,0.417,1.622,1.533,1.667,1.755,1.600,1.422,1.245,0.844,87.265
300,pectoralis,gro§esmoor2,2012,invertebrate,21.404,12.542,1.704,2.998,5.470,7.083,7.787,7.823,7.191,6.145,5.122,0.276,1.477,1.440,1.580,1.633,1.527,1.442,1.338,1.038,80.904
301,pectoralis,gro§esmoor2,2012,invertebrate,20.486,12.294,1.504,3.005,5.355,7.111,7.767,7.767,7.048,6.095,5.080,0.190,1.293,1.440,1.589,1.694,1.608,1.377,1.144,1.016,79.075
302,pectoralis,gro§esmoor2,2012,invertebrate,21.093,12.412,1.699,3.324,6.045,7.765,8.396,8.269,7.717,6.736,5.566,0.163,1.447,1.568,1.706,1.806,1.608,1.381,1.198,0.893,87.260
303,dubia,gro§esmoor3,2013,invertebrate,18.250,10.191,1.509,2.961,4.663,6.305,6.860,6.785,6.325,5.426,4.281,0.191,1.089,1.070,1.242,1.242,1.184,1.070,0.993,0.974,58.030
304,pectoralis,gro§esmoor3,2013,invertebrate,21.496,12.321,1.615,3.094,5.780,7.162,7.745,7.688,7.143,6.072,5.060,0.272,1.402,1.498,1.576,1.537,1.420,1.265,1.208,1.051,79.199
305,dubia,gro§esmoor3,2013,invertebrate,18.588,10.375,1.380,2.810,4.883,6.471,7.111,6.994,6.471,5.405,4.301,0.213,1.149,1.107,1.202,1.279,1.202,1.066,1.007,0.897,60.227
306,dubia,gro§esmoor3,2013,invertebrate,19.072,11.452,1.534,3.048,5.159,6.752,7.230,7.070,6.572,5.477,4.501,0.219,1.235,1.315,1.474,1.494,1.435,1.295,1.096,0.916,68.382
307,dubia,gro§esmoor3,2013,invertebrate,17.740,10.651,1.488,2.922,4.657,6.118,6.584,6.484,5.996,4.982,4.179,0.196,1.094,1.289,1.351,1.387,1.348,1.153,1.035,0.840,57.286
308,dubia,gro§esmoor3,2013,invertebrate,18.214,10.261,1.209,2.910,4.708,6.253,6.880,6.780,6.313,5.336,4.399,0.177,0.995,1.171,1.132,1.209,1.152,1.073,0.976,0.920,56.975
309,dubia,gro§esmoor3,2013,invertebrate,18.450,10.390,1.409,3.113,5.150,6.658,7.206,7.127,6.676,5.656,4.619,0.176,1.174,1.136,1.331,1.350,1.333,1.057,0.959,0.842,62.583
310,dubia,gro§esmoor3,2013,invertebrate,17.848,10.821,1.425,2.946,4.856,6.464,6.939,6.898,6.501,5.402,4.379,0.157,1.296,1.277,1.356,1.317,1.218,1.080,1.100,0.963,61.040
311,rubicunda,gro§esmoor3,2013,invertebrate,20.733,12.131,1.654,2.970,5.259,6.794,7.469,7.491,6.971,6.096,4.979,0.339,1.313,1.454,1.513,1.474,1.374,1.236,1.215,1.095,74.368
312,dubia,gro§esmoor3,2013,invertebrate,17.506,10.612,1.474,2.912,4.776,6.190,6.714,6.676,6.208,5.200,4.210,0.330,1.224,1.165,1.300,1.359,1.339,1.184,1.031,0.776,58.163
313,pectoralis,gro§esmoor3,2013,invertebrate,20.984,12.559,1.735,3.048,5.563,6.992,7.506,7.507,7.050,6.020,5.048,0.418,1.658,1.658,1.677,1.623,1.429,1.239,1.182,1.029,79.103
314,caudalis,kesperbruch,2013,vertebrate,19.613,12.991,1.768,3.241,5.640,7.341,8.127,7.925,7.179,6.012,5.062,0.310,1.492,1.617,1.636,1.598,1.512,1.250,1.049,0.987,81.833
315,caudalis,kesperbruch,2013,vertebrate,19.623,11.378,1.518,3.074,5.853,7.641,8.378,8.183,7.311,5.968,5.110,0.272,1.399,1.480,1.537,1.593,1.496,1.283,0.933,0.778,78.559
316,caudalis,kesperbruch,2013,vertebrate,20.058,11.483,1.717,3.264,6.084,7.821,8.487,8.348,7.333,5.940,4.800,0.232,1.465,1.408,1.543,1.565,1.469,1.192,1.007,0.850,79.217
317,caudalis,kesperbruch,2013,vertebrate,20.358,11.854,1.552,3.162,5.937,7.954,8.770,8.556,7.508,6.095,4.734,0.292,1.418,1.436,1.572,1.514,1.475,1.262,0.854,0.970,83.458
318,caudalis,kesperbruch,2013,vertebrate,21.086,11.649,1.599,2.995,5.705,7.706,8.491,8.282,7.361,5.977,4.869,0.278,1.427,1.547,1.566,1.548,1.552,1.172,0.894,0.793,85.017
319,dubia,nydalasjoen,2012,vertebrate,17.217,10.465,1.481,2.904,4.692,6.115,6.615,6.577,6.135,5.174,4.270,0.231,1.039,1.192,1.365,1.404,1.250,1.097,1.019,0.962,56.191
320,dubia,nydalasjoen,2012,vertebrate,16.364,9.535,1.335,2.710,4.440,5.838,6.354,6.228,5.764,4.892,4.100,0.146,0.956,1.123,1.248,1.331,1.185,1.060,0.833,0.750,49.636
321,dubia,nydalasjoen,2012,vertebrate,15.217,8.649,NA,2.941,4.710,6.264,6.808,6.660,6.115,5.285,4.385,NA,0.857,1.061,1.143,1.279,1.225,0.966,0.789,0.599,49.224
322,dubia,nydalasjoen,2012,vertebrate,16.030,8.951,1.443,2.808,4.481,5.962,6.500,6.424,5.885,4.983,4.078,0.270,1.231,1.269,1.173,1.213,1.100,0.865,0.712,0.673,46.891
323,dubia,nydalasjoen,2012,vertebrate,16.467,9.517,1.359,3.083,4.902,6.444,6.985,6.879,6.382,5.358,4.437,0.160,0.980,1.139,1.279,1.379,1.299,1.059,0.880,0.820,54.657
324,dubia,nydalasjoen,2012,vertebrate,15.946,9.051,1.334,2.681,4.558,6.016,6.641,6.515,6.002,5.084,4.167,0.167,0.945,1.084,1.167,1.306,1.195,0.987,0.820,0.710,49.296
325,dubia,nydalasjoen,2012,vertebrate,17.146,10.043,1.304,2.983,4.894,6.590,7.196,7.179,6.608,5.554,4.643,0.125,1.000,1.089,1.250,1.375,1.358,1.126,1.036,0.911,60.179
326,dubia,nydalasjoen,2012,vertebrate,17.999,10.970,1.440,3.127,4.990,6.491,7.140,7.123,6.626,5.761,4.744,0.173,0.979,1.246,1.253,1.473,1.358,1.248,1.074,0.882,64.746
327,dubia,nydalasjoen,2012,vertebrate,16.239,9.394,1.405,2.787,4.555,6.150,6.746,6.650,6.113,5.210,4.290,0.192,1.020,1.156,1.194,1.212,1.250,1.038,0.847,0.653,52.001
328,dubia,nydalasjoen,2012,vertebrate,15.947,9.245,1.388,2.821,4.477,5.986,6.574,6.491,5.919,5.020,4.041,0.184,0.796,1.041,1.184,1.307,1.246,1.042,0.939,0.715,49.666
329,dubia,nydalasjoen,2012,vertebrate,17.262,10.483,1.404,2.884,4.672,6.153,6.653,6.576,6.115,5.154,4.268,0.202,1.097,1.269,1.404,1.423,1.250,1.154,1.019,0.904,55.923
330,dubia,nydalasjoen,2012,vertebrate,15.840,9.181,1.324,2.605,4.252,5.632,6.111,6.011,5.707,4.840,3.866,0.130,0.960,1.040,1.241,1.281,1.200,1.040,0.881,0.760,48.019
331,dubia,nydalasjoen,2012,vertebrate,16.038,8.924,1.463,2.826,4.480,5.960,6.538,6.501,5.865,5.019,4.077,0.307,1.231,1.222,1.154,1.135,1.019,0.808,0.692,0.654,47.135
332,dubia,nydalasjoen,2012,vertebrate,16.329,9.410,1.440,3.041,4.817,6.341,6.847,6.789,6.256,5.327,4.378,0.158,1.006,1.124,1.243,1.341,1.262,1.085,0.888,0.750,53.253
333,dubia,lillaramsmossjoen,2012,invertebrate,16.368,9.397,1.433,2.803,4.538,5.971,6.537,6.514,5.998,5.166,4.261,0.151,0.993,1.081,1.219,1.371,1.245,1.031,0.792,0.792,50.587
334,dubia,lillaramsmossjoen,2012,invertebrate,15.941,9.182,1.270,2.791,4.552,6.098,6.714,6.663,6.085,5.192,4.287,0.170,1.031,1.031,1.156,1.194,1.271,1.069,0.905,0.730,50.321
335,dubia,lillaramsmossjoen,2012,invertebrate,16.393,10.012,1.390,2.760,4.377,5.709,6.199,6.225,5.904,5.034,4.137,0.269,0.783,1.333,1.397,1.513,1.320,1.127,0.922,0.794,52.047
336,dubia,lillaramsmossjoen,2012,invertebrate,16.250,9.058,1.194,2.884,4.530,6.018,6.611,6.543,6.012,5.080,4.172,0.167,0.933,1.157,1.224,1.340,1.230,1.000,0.850,0.750,49.841
337,dubia,lillaramsmossjoen,2012,invertebrate,16.748,9.889,1.417,2.881,4.570,6.087,6.675,6.540,6.024,5.147,4.229,0.190,0.914,1.155,1.276,1.379,1.414,1.208,1.017,0.724,54.782
338,dubia,lillaramsmossjoen,2012,invertebrate,17.720,10.635,1.465,3.063,4.829,6.349,6.888,6.815,6.376,5.475,4.595,0.154,0.926,1.156,1.481,1.480,1.443,1.291,1.058,0.905,60.911
339,dubia,lillaramsmossjoen,2012,invertebrate,18.585,10.813,1.546,3.074,4.872,6.485,7.088,7.034,6.517,5.593,4.599,0.267,1.137,1.279,1.420,1.474,1.403,1.190,1.172,0.941,63.313
340,dubia,lillaramsmossjoen,2012,invertebrate,15.673,8.750,NA,2.855,4.531,6.015,6.594,6.622,6.042,5.171,4.203,NA,0.887,1.069,1.157,1.272,1.233,1.058,0.780,0.654,48.126
341,dubia,lillaramsmossjoen,2012,invertebrate,16.757,10.205,1.499,3.037,4.786,6.363,6.944,6.893,6.303,5.361,4.402,0.192,1.115,1.256,1.435,1.473,1.372,1.153,0.910,0.730,58.008
342,dubia,lillaramsmossjoen,2012,invertebrate,16.427,9.638,1.375,2.854,4.564,5.964,6.617,6.569,6.045,5.193,4.297,0.163,NA,1.143,1.280,1.471,1.415,1.172,0.885,0.737,51.815
343,dubia,lillaramsmossjoen,2012,invertebrate,16.163,9.309,1.321,2.733,4.413,5.906,6.520,6.415,5.828,4.936,4.094,0.181,0.973,1.066,1.173,1.266,1.240,1.027,0.921,0.827,49.435
344,dubia,lillaramsmossjoen,2012,invertebrate,17.124,10.071,1.405,3.070,4.860,6.439,7.071,7.018,6.474,5.509,4.581,0.123,0.720,1.088,1.474,1.491,1.474,1.193,1.018,0.737,58.721
345,pectoralis,metzelthinsee ,2012,vertebrate,23.059,13.765,1.843,3.314,6.118,8.059,8.726,8.707,8.060,6.942,5.668,0.176,1.608,1.627,1.647,1.745,1.627,1.413,1.236,1.176,97.809
346,pectoralis,metzelthinsee ,2012,vertebrate,22.003,13.003,1.808,3.271,5.795,7.490,8.295,8.392,7.638,6.732,5.636,0.327,1.481,1.462,1.635,1.674,1.654,1.346,1.173,1.135,89.686
347,pectoralis,metzelthinsee ,2012,vertebrate,21.429,14.188,NA,3.320,5.943,7.763,8.460,8.495,7.959,6.747,5.502,NA,1.588,1.588,1.731,1.767,1.463,1.196,1.124,1.024,94.164
348,pectoralis,metzelthinsee ,2012,vertebrate,22.800,14.150,1.840,3.362,6.056,7.825,8.493,8.396,7.641,6.557,5.360,0.325,1.587,1.590,1.632,1.703,1.679,1.473,1.313,1.196,87.598
349,pectoralis,metzelthinsee ,2012,vertebrate,22.440,13.430,1.766,3.274,5.921,7.951,8.621,8.575,7.829,6.713,5.612,0.313,1.410,1.505,1.606,1.787,1.746,1.550,1.366,1.165,95.195
350,pectoralis,metzelthinsee ,2012,vertebrate,21.971,12.518,NA,3.328,6.150,8.018,8.566,8.416,7.777,6.780,5.663,NA,1.097,1.513,1.626,1.757,1.739,1.473,1.249,1.023,89.148
351,pectoralis,metzelthinsee ,2012,vertebrate,21.573,13.133,NA,3.226,5.917,7.721,8.384,8.279,7.632,6.557,5.397,NA,1.398,1.590,1.718,1.762,1.590,1.375,1.181,1.023,85.189
352,pectoralis,metzelthinsee ,2012,vertebrate,23.236,13.625,1.867,3.386,6.213,8.185,8.879,8.827,8.160,7.066,5.787,0.213,1.680,1.573,1.733,1.760,1.707,1.466,1.281,1.173,97.402
353,pectoralis,metzelthinsee ,2012,vertebrate,21.750,12.793,1.774,3.117,5.626,7.345,8.159,8.232,7.458,6.568,5.512,0.302,1.472,1.453,1.585,1.642,1.585,1.340,1.189,1.113,87.356
354,pectoralis,metzelthinsee ,2012,vertebrate,22.360,13.405,NA,3.247,5.817,7.615,8.293,8.270,7.709,6.589,5.634,NA,1.519,1.542,1.731,1.705,1.659,1.332,1.192,1.075,88.350
355,pectoralis,metzelthinsee ,2012,vertebrate,23.214,14.387,1.859,3.457,6.295,8.082,8.619,8.470,7.935,6.793,5.529,0.333,1.620,1.619,1.690,1.762,1.763,1.548,1.382,1.162,88.734
356,pectoralis,metzelthinsee ,2012,vertebrate,21.995,13.089,1.630,3.177,5.806,7.843,8.503,8.442,7.687,6.549,5.514,0.270,1.402,1.487,1.685,1.774,1.668,1.520,1.379,1.095,91.608
357,pectoralis,metzelthinsee ,2012,vertebrate,21.582,12.386,NA,3.272,5.944,7.690,8.309,8.110,7.475,6.496,5.460,NA,1.036,1.418,1.492,1.673,1.691,1.418,1.218,1.000,84.223
358,pectoralis,metzelthinsee ,2012,vertebrate,22.108,13.139,NA,3.327,6.127,8.033,8.569,8.655,8.087,7.083,5.799,NA,1.494,1.623,1.740,1.821,1.647,1.494,1.196,0.989,93.988
359,albifrons,proweskesee,2012,vertebrate,19.820,11.269,1.435,3.300,5.750,7.727,8.398,8.146,7.527,6.405,5.173,0.145,1.162,1.507,1.523,1.578,1.433,1.306,1.071,0.907,78.705
360,albifrons,proweskesee,2012,vertebrate,19.410,11.413,NA,3.295,5.705,7.590,8.263,8.115,7.492,6.377,5.230,NA,1.246,1.429,1.525,1.641,1.590,1.312,1.001,0.803,78.694
361,albifrons,proweskesee,2012,vertebrate,20.546,12.370,1.614,3.377,5.908,7.748,8.295,8.223,7.553,6.495,5.269,0.368,1.297,1.402,1.752,1.788,1.631,1.437,1.139,0.929,85.312
362,albifrons,proweskesee,2012,vertebrate,19.604,11.892,1.543,3.388,5.827,7.561,8.124,8.034,7.369,6.348,5.173,0.281,1.333,1.508,1.702,1.648,1.403,1.245,1.000,0.842,80.466
363,albifrons,proweskesee,2012,vertebrate,19.653,11.579,NA,3.430,5.862,7.725,8.428,8.116,7.421,6.274,5.218,NA,1.098,1.548,1.548,1.607,1.588,1.374,1.058,0.804,82.246
364,albifrons,proweskesee,2012,vertebrate,20.652,12.432,1.578,3.108,5.629,7.476,8.085,7.998,7.303,6.217,5.153,0.220,1.261,1.348,1.543,1.587,1.565,1.435,1.152,0.913,86.152
365,albifrons,proweskesee,2012,vertebrate,20.476,12.322,NA,3.280,5.842,7.741,8.381,8.226,7.489,6.356,5.199,NA,1.155,1.542,1.678,1.712,1.683,1.444,1.133,0.867,87.769
366,caudalis,proweskesee,2012,vertebrate,18.415,10.900,1.563,3.036,5.545,7.562,8.453,8.362,7.199,5.763,4.818,0.218,1.291,1.345,1.437,1.418,1.309,1.183,0.873,0.745,71.063
367,caudalis,proweskesee,2012,vertebrate,19.033,11.341,1.500,3.132,5.876,7.895,8.676,8.433,7.452,5.969,4.913,0.205,1.242,1.409,1.524,1.482,1.352,1.223,0.889,0.722,79.499
368,caudalis,proweskesee,2012,vertebrate,19.417,11.725,1.545,3.319,6.241,8.541,9.402,9.210,8.164,6.667,5.538,NA,1.214,1.444,1.679,1.542,1.488,1.305,0.966,0.879,90.555
369,caudalis,proweskesee,2012,vertebrate,20.014,12.125,NA,3.203,6.076,8.348,9.200,9.038,8.001,6.347,5.243,0.218,1.259,1.439,1.640,1.565,1.546,1.291,1.091,0.928,90.827
370,caudalis,proweskesee,2012,vertebrate,19.234,11.374,1.520,3.135,5.923,8.193,9.137,8.962,7.905,6.366,5.212,0.212,1.308,1.423,1.558,1.539,1.366,1.154,0.923,0.923,85.206
371,caudalis,proweskesee,2012,vertebrate,19.134,11.343,1.596,3.043,5.791,7.873,8.781,8.638,7.604,6.101,4.971,0.248,1.362,1.390,1.528,1.532,1.373,1.236,0.964,0.986,80.440
372,caudalis,proweskesee,2012,vertebrate,20.441,12.073,1.569,3.200,6.038,8.311,9.291,9.057,7.954,6.579,5.207,0.196,1.295,1.473,1.676,1.634,1.533,1.281,0.944,0.905,90.254
373,albifrons,proweskesee,2012,vertebrate,19.859,11.258,1.357,3.313,5.756,7.740,8.367,8.153,7.499,6.364,5.182,0.145,1.161,1.427,1.527,1.596,1.427,1.330,1.040,0.847,78.210
374,albifrons,proweskesee,2012,vertebrate,19.681,11.614,NA,3.330,5.772,7.770,8.370,8.281,7.548,6.482,5.328,NA,1.215,1.354,1.510,1.599,1.554,1.333,0.955,0.822,81.080
375,albifrons,proweskesee,2012,vertebrate,20.918,12.569,1.643,3.392,6.007,7.874,8.441,8.343,7.674,6.623,5.384,0.292,1.219,1.511,1.756,1.779,1.658,1.438,1.145,0.877,85.432
376,albifrons,proweskesee,2012,vertebrate,19.603,11.853,1.571,3.345,5.779,7.579,8.141,7.977,7.300,6.315,5.120,0.228,1.262,1.520,1.660,1.590,1.473,1.217,0.983,0.795,79.655
377,albifrons,proweskesee,2012,vertebrate,19.124,11.442,NA,3.444,5.751,7.600,8.272,8.231,7.580,6.391,5.120,NA,1.115,1.538,1.519,1.558,1.539,1.346,1.039,0.808,78.696
378,albifrons,proweskesee,2012,vertebrate,20.338,12.191,1.602,3.333,5.777,7.621,8.243,8.110,7.444,6.424,5.203,0.232,1.244,1.378,1.533,1.578,1.578,1.466,1.133,0.889,82.664
379,albifrons,proweskesee,2012,vertebrate,20.474,12.251,NA,3.460,5.993,7.874,8.483,8.367,7.639,6.486,5.265,NA,1.153,1.514,1.695,1.650,1.628,1.491,1.175,0.882,86.401
380,albifrons,proweskesee,2012,vertebrate,20.046,11.400,1.516,3.380,5.812,7.888,8.397,8.135,7.584,6.488,5.271,0.166,1.183,1.497,1.533,1.644,1.459,1.404,1.072,0.832,81.039
381,albifrons,proweskesee,2012,vertebrate,19.523,11.596,NA,3.309,5.797,7.673,8.374,8.218,7.551,6.463,5.420,NA,1.244,1.444,1.532,1.666,1.555,1.333,0.955,0.822,81.766
382,albifrons,proweskesee,2012,vertebrate,20.294,11.909,1.631,3.216,5.759,7.592,7.971,7.966,7.305,6.221,5.064,0.316,1.197,1.378,1.693,1.628,1.560,1.354,1.084,0.768,80.903
383,albifrons,proweskesee,2012,vertebrate,19.588,11.822,1.568,3.343,5.799,7.598,8.111,8.017,7.364,6.403,5.163,0.234,1.285,1.495,1.705,1.635,1.495,1.238,1.004,0.818,79.532
